enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,job_stability,low_experience,recent_job_change,high_experience
14928,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,3,Pvt Ltd,3,40,0.0,0.13636363636363635,0,0,1
22293,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,6,Pvt Ltd,5,141,0.0,0.25,0,0,1
4324,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,2,Unknown,1,24,0.0,0.16666666666666666,0,1,0
26966,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,3,Pvt Ltd,5,82,0.0,0.22727272727272727,0,0,1
26494,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,6,Pvt Ltd,3,145,0.0,0.23076923076923078,0,0,1
4866,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1,Early Stage Startup,2,206,0.0,0.18181818181818182,0,0,1
12726,city_114,0.926,Male,No relevent experience,Part time course,High School,STEM,1,7,Other,1,152,0.0,0.5,1,1,0
10164,city_114,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,21,3,Pvt Ltd,4,42,1.0,0.18181818181818182,0,0,1
8612,city_103,0.92,Unknown,No relevent experience,no_enrollment,Graduate,STEM,12,2,Unknown,4,50,0.0,0.3076923076923077,0,0,1
24659,city_71,0.884,Male,No relevent experience,no_enrollment,Graduate,STEM,3,2,Unknown,0,106,0.0,0.0,0,1,0
2547,city_114,0.926,Female,Has relevent experience,Full time course,Masters,STEM,16,5,Public Sector,2,14,0.0,0.11764705882352941,0,0,1
13854,city_104,0.924,Male,Has relevent experience,no_enrollment,High School,STEM,4,1,Pvt Ltd,2,36,0.0,0.4,0,0,0
31654,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Masters,STEM,6,2,Early Stage Startup,1,112,1.0,0.14285714285714285,0,1,0
13643,city_64,0.6659999999999999,Unknown,No relevent experience,no_enrollment,Graduate,No Major,9,2,Pvt Ltd,0,108,0.0,0.0,0,1,0
5590,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,6,Pvt Ltd,3,7,1.0,0.3,0,0,0
22452,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,2,Unknown,0,26,1.0,0.0,0,1,0
9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,3,Pvt Ltd,0,87,1.0,0.0,0,1,0
25987,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,7,Public Sector,4,52,1.0,0.2,0,0,1
4476,city_101,0.5579999999999999,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,2,Unknown,5,20,1.0,0.3125,0,0,1
25103,city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,1,Pvt Ltd,1,21,0.0,0.08333333333333333,0,1,1
5568,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,2,Unknown,1,92,1.0,0.2,0,1,0
2195,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,3,Pvt Ltd,2,102,0.0,0.18181818181818182,0,0,1
30533,city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,7,Pvt Ltd,5,26,0.0,0.8333333333333334,0,0,0
28512,city_104,0.924,Unknown,Has relevent experience,no_enrollment,Masters,STEM,3,0,Early Stage Startup,2,7,0.0,0.5,0,0,0
1023,city_114,0.926,Male,No relevent experience,Full time course,High School,STEM,4,7,Pvt Ltd,1,43,0.0,0.2,0,1,0
12253,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,3,Pvt Ltd,1,45,0.0,0.045454545454545456,0,1,1
25296,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,2,Early Stage Startup,2,52,0.0,0.6666666666666666,1,0,0
13238,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,2,Unknown,2,19,0.0,0.09090909090909091,0,0,1
13478,city_21,0.624,Unknown,Has relevent experience,Full time course,Graduate,STEM,2,1,Funded Startup,1,32,1.0,0.3333333333333333,1,1,0
18578,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,21,3,Pvt Ltd,5,26,1.0,0.22727272727272727,0,0,1
29975,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,2,Unknown,1,90,0.0,0.14285714285714285,0,1,0
26516,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,3,Pvt Ltd,3,25,0.0,0.42857142857142855,0,0,0
24690,city_41,0.8270000000000001,Unknown,Has relevent experience,no_enrollment,Masters,STEM,13,0,Unknown,1,15,0.0,0.07142857142857142,0,1,1
8433,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,21,3,Pvt Ltd,5,48,0.0,0.22727272727272727,0,0,1
9572,city_11,0.55,Unknown,No relevent experience,Full time course,High School,STEM,3,2,Unknown,1,98,0.0,0.25,0,1,0
5878,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,2,Pvt Ltd,2,142,1.0,0.18181818181818182,0,0,1
25695,city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,7,Pvt Ltd,4,13,0.0,0.8,0,0,0
9645,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,2,Unknown,5,47,0.0,0.3125,0,0,1
12730,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,4,Public Sector,1,28,0.0,0.06666666666666667,0,1,1
4830,city_90,0.698,Unknown,No relevent experience,no_enrollment,Graduate,STEM,2,2,Pvt Ltd,0,228,1.0,0.0,1,1,0
20970,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,2,Unknown,4,22,0.0,0.18181818181818182,0,0,1
17271,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0,2,Unknown,0,18,1.0,0.0,1,1,0
12731,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,1,Pvt Ltd,1,29,0.0,0.3333333333333333,1,1,0
10908,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,3,Unknown,1,46,0.0,0.16666666666666666,0,1,0
29117,city_11,0.55,Unknown,No relevent experience,Full time course,Graduate,STEM,0,2,Unknown,0,12,0.0,0.0,1,1,0
3686,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,3,Pvt Ltd,2,17,0.0,0.3333333333333333,0,0,0
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,2,Pvt Ltd,2,65,0.0,0.3333333333333333,0,0,0
22134,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,3,Pvt Ltd,1,35,0.0,0.25,0,1,0
31765,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,7,Pvt Ltd,3,14,0.0,0.3,0,0,0
31449,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,0,Early Stage Startup,1,4,0.0,0.3333333333333333,1,1,0
5987,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,2,Pvt Ltd,5,12,0.0,0.3125,0,0,1
21762,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,2,Pvt Ltd,2,108,0.0,0.09090909090909091,0,0,1
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,21,2,Unknown,1,136,0.0,0.045454545454545456,0,1,1
25413,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1,Unknown,1,27,0.0,0.16666666666666666,0,1,0
5902,city_20,0.7959999999999999,Unknown,Has relevent experience,Part time course,Masters,STEM,4,2,Funded Startup,1,74,0.0,0.2,0,1,0
28403,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,1,Early Stage Startup,1,86,0.0,0.0625,0,1,1
30937,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,0,1,Pvt Ltd,2,83,0.0,2.0,1,0,0
28751,city_103,0.92,Unknown,No relevent experience,Full time course,High School,STEM,4,2,Unknown,3,75,0.0,0.6,0,0,0
29290,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,5,Public Sector,2,42,0.0,0.16666666666666666,0,0,1
32401,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,3,Unknown,1,332,0.0,0.14285714285714285,0,1,0
19128,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4,2,Unknown,1,140,0.0,0.2,0,1,0
29036,city_16,0.91,Male,No relevent experience,no_enrollment,High School,STEM,3,2,Unknown,0,182,0.0,0.0,0,1,0
16869,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,3,Pvt Ltd,1,13,1.0,0.25,0,1,0
10497,city_19,0.682,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,1,Pvt Ltd,2,172,1.0,0.3333333333333333,0,0,0
18099,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,10,3,NGO,1,48,0.0,0.09090909090909091,0,1,1
12081,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,2,Pvt Ltd,1,33,0.0,0.1,0,1,0
7364,city_160,0.92,Unknown,No relevent experience,Full time course,High School,STEM,2,3,Pvt Ltd,1,142,0.0,0.3333333333333333,1,1,0
11184,city_74,0.579,Unknown,No relevent experience,Full time course,Graduate,STEM,2,3,Pvt Ltd,1,34,0.0,0.3333333333333333,1,1,0
7016,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,2,Pvt Ltd,2,14,1.0,0.2857142857142857,0,0,0
8695,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,1,Pvt Ltd,2,27,1.0,0.2857142857142857,0,0,0
6172,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,3,Pvt Ltd,1,24,1.0,0.1111111111111111,0,1,0
14672,city_173,0.878,Unknown,No relevent experience,no_enrollment,Masters,STEM,21,2,Unknown,1,150,0.0,0.045454545454545456,0,1,1
18257,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,4,NGO,5,20,0.0,0.4166666666666667,0,0,1
24493,city_103,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,5,4,Unknown,1,140,0.0,0.16666666666666666,0,1,0
1180,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,6,Pvt Ltd,1,52,0.0,0.07692307692307693,0,1,1
28627,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,2,Pvt Ltd,2,160,0.0,0.09090909090909091,0,0,1
8168,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,6,Pvt Ltd,2,3,0.0,0.2,0,0,0
10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,0,Pvt Ltd,2,2,1.0,0.6666666666666666,1,0,0
25349,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,5,Pvt Ltd,5,28,0.0,0.22727272727272727,0,0,1
5220,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,21,2,Unknown,4,46,0.0,0.18181818181818182,0,0,1
4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,2,Pvt Ltd,1,210,0.0,0.1111111111111111,0,1,0
11338,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,0,Pvt Ltd,1,36,0.0,0.09090909090909091,0,1,1
27963,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,2,Unknown,1,160,1.0,0.2,0,1,0
8571,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,1,NGO,2,101,0.0,0.6666666666666666,1,0,0
16303,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,2,Unknown,1,46,0.0,0.14285714285714285,0,1,0
20576,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,5,Pvt Ltd,5,19,0.0,0.22727272727272727,0,0,1
32966,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,3,Pvt Ltd,2,26,1.0,0.5,0,0,0
21199,city_90,0.698,Unknown,Has relevent experience,Full time course,Graduate,STEM,7,0,NGO,1,90,0.0,0.125,0,1,0
18819,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,0,Pvt Ltd,4,59,0.0,0.4,0,0,0
14199,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,2,Funded Startup,1,260,0.0,0.09090909090909091,0,1,1
7666,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,2,Pvt Ltd,5,74,0.0,0.4166666666666667,0,0,1
13915,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,21,3,Pvt Ltd,2,20,1.0,0.09090909090909091,0,0,1
10555,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,3,Pvt Ltd,2,8,0.0,0.15384615384615385,0,0,1
16040,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,3,Pvt Ltd,1,131,0.0,0.14285714285714285,0,1,0
32826,city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,2,Unknown,1,45,0.0,0.125,0,1,0
13253,city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,1,Pvt Ltd,2,109,0.0,0.16666666666666666,0,0,1
15637,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,3,Pvt Ltd,1,70,0.0,0.25,0,1,0
28074,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,3,NGO,5,17,0.0,0.22727272727272727,0,0,1
23012,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,2,Pvt Ltd,1,51,0.0,0.0625,0,1,1
16110,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,2,Pvt Ltd,3,60,1.0,0.42857142857142855,0,0,0
3921,city_36,0.893,Unknown,No relevent experience,no_enrollment,Phd,STEM,21,5,Public Sector,5,4,0.0,0.22727272727272727,0,0,1
24530,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,3,Pvt Ltd,5,7,0.0,0.38461538461538464,0,0,1
1924,city_102,0.804,Unknown,Has relevent experience,no_enrollment,Masters,STEM,21,3,Pvt Ltd,3,164,0.0,0.13636363636363635,0,0,1
32776,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,2,Unknown,4,290,0.0,0.19047619047619047,0,0,1
1907,city_102,0.804,Male,No relevent experience,no_enrollment,High School,STEM,2,0,NGO,0,145,0.0,0.0,1,1,0
23947,city_103,0.92,Unknown,No relevent experience,no_enrollment,Phd,STEM,3,2,Unknown,1,70,0.0,0.25,0,1,0
3116,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,3,2,Unknown,1,24,0.0,0.25,0,1,0
24829,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,7,Pvt Ltd,1,133,1.0,0.25,0,1,0
30488,city_11,0.55,Unknown,No relevent experience,Full time course,Graduate,STEM,2,2,Unknown,1,20,0.0,0.3333333333333333,1,1,0
1265,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,0,Funded Startup,1,76,0.0,0.09090909090909091,0,1,1
22098,city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,2,Unknown,4,21,1.0,0.6666666666666666,0,0,0
13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,6,Pvt Ltd,2,34,0.0,0.2222222222222222,0,0,0
24608,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,0,Pvt Ltd,2,15,0.0,0.2,0,0,0
20081,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,21,2,Unknown,5,156,0.0,0.22727272727272727,0,0,1
24796,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,6,Pvt Ltd,5,15,0.0,0.22727272727272727,0,0,1
7777,city_114,0.926,Unknown,Has relevent experience,no_enrollment,Masters,STEM,21,2,Unknown,0,120,0.0,0.0,0,1,1
22718,city_157,0.769,Unknown,Has relevent experience,no_enrollment,Graduate,No Major,14,7,Unknown,5,47,0.0,0.3333333333333333,0,0,1
1261,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,2,Unknown,2,100,1.0,0.15384615384615385,0,0,1
3396,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,4,Pvt Ltd,0,102,0.0,0.0,0,1,0
4283,city_103,0.92,Male,No relevent experience,no_enrollment,High School,STEM,4,2,Unknown,0,52,0.0,0.0,0,1,0
18998,city_114,0.926,Unknown,Has relevent experience,no_enrollment,High School,STEM,9,1,Unknown,4,39,0.0,0.4,0,0,0
2003,city_103,0.92,Male,Has relevent experience,Full time course,High School,STEM,4,2,Unknown,1,112,1.0,0.2,0,1,0
31786,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,21,2,Pvt Ltd,5,14,0.0,0.22727272727272727,0,0,1
8241,city_16,0.91,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,11,2,Unknown,1,4,0.0,0.08333333333333333,0,1,1
12154,city_16,0.91,Unknown,Has relevent experience,no_enrollment,Masters,Arts,21,5,NGO,5,55,0.0,0.22727272727272727,0,0,1
23455,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,7,Pvt Ltd,4,49,1.0,0.5714285714285714,0,0,0
19882,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,2,Unknown,5,72,0.0,0.3125,0,0,1
28817,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,6,Pvt Ltd,3,141,1.0,0.2,0,0,1
4656,city_114,0.926,Male,No relevent experience,no_enrollment,High School,STEM,6,2,Pvt Ltd,0,28,0.0,0.0,0,1,0
7280,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,7,Pvt Ltd,1,6,0.0,0.07142857142857142,0,1,1
16903,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,17,6,Pvt Ltd,1,125,0.0,0.05555555555555555,0,1,1
13333,city_75,0.939,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,21,2,Unknown,0,326,0.0,0.0,0,1,1
26241,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,21,3,Pvt Ltd,2,33,0.0,0.09090909090909091,0,0,1
12381,city_102,0.804,Unknown,No relevent experience,no_enrollment,Masters,STEM,6,7,Pvt Ltd,5,40,0.0,0.7142857142857143,0,0,0
4064,city_160,0.92,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,18,2,Unknown,1,198,1.0,0.05263157894736842,0,1,1
32092,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,7,Pvt Ltd,5,55,0.0,0.3125,0,0,1
3766,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,21,4,Pvt Ltd,5,32,0.0,0.22727272727272727,0,0,1
30496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,21,3,Pvt Ltd,5,11,0.0,0.22727272727272727,0,0,1
7189,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,0,Pvt Ltd,1,41,0.0,0.045454545454545456,0,1,1
29497,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,7,Public Sector,5,87,1.0,0.22727272727272727,0,0,1
31593,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,3,Pvt Ltd,4,114,0.0,0.36363636363636365,0,0,1
12384,city_70,0.698,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,21,2,Unknown,5,33,0.0,0.22727272727272727,0,0,1
11986,city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,0,Early Stage Startup,1,15,0.0,0.16666666666666666,0,1,0
31033,city_16,0.91,Unknown,No relevent experience,Full time course,High School,STEM,3,2,Unknown,1,8,0.0,0.25,0,1,0
14835,city_173,0.878,Female,Has relevent experience,Part time course,High School,STEM,2,3,NGO,1,22,0.0,0.3333333333333333,1,1,0
3728,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,6,Pvt Ltd,4,13,0.0,0.18181818181818182,0,0,1
3024,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,0,Public Sector,1,246,0.0,0.045454545454545456,0,1,1
23508,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,1,Pvt Ltd,1,22,0.0,0.1,0,1,0
29457,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,21,0,Funded Startup,1,81,0.0,0.045454545454545456,0,1,1
12297,city_175,0.7759999999999999,Unknown,Has relevent experience,Full time course,Graduate,STEM,4,1,Funded Startup,1,11,0.0,0.2,0,1,0
27708,city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,6,Unknown,1,24,1.0,0.16666666666666666,0,1,0
3065,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,21,3,Funded Startup,1,50,0.0,0.045454545454545456,0,1,1
29226,city_104,0.924,Male,No relevent experience,Full time course,High School,STEM,6,2,Unknown,0,15,0.0,0.0,0,1,0
5493,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,21,1,Pvt Ltd,5,31,0.0,0.22727272727272727,0,0,1
2891,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,21,2,Pvt Ltd,0,84,0.0,0.0,0,1,1
32509,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,7,Pvt Ltd,1,42,0.0,0.2,0,1,0
31841,city_21,0.624,Unknown,Has relevent experience,no_enrollment,Graduate,STEM,10,1,Pvt Ltd,5,105,1.0,0.45454545454545453,0,0,1
907,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,21,2,Pvt Ltd,5,72,0.0,0.22727272727272727,0,0,1
29526,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1,Pvt Ltd,5,42,1.0,0.3333333333333333,0,0,1
10956,city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,2,Early Stage Startup,1,152,0.0,0.0625,0,1,1
26099,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,7,Pvt Ltd,1,60,0.0,0.07692307692307693,0,1,1
26163,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,2,Unknown,0,8,0.0,0.0,1,1,0
4120,city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,2,Unknown,3,17,1.0,0.21428571428571427,0,0,1
7335,city_83,0.923,Male,No relevent experience,no_enrollment,High School,STEM,1,2,Unknown,1,33,0.0,0.5,1,1,0
706,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,3,Funded Startup,0,38,0.0,0.0,0,1,0
9890,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,0,Early Stage Startup,2,178,0.0,0.13333333333333333,0,0,1
32683,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,2,Pvt Ltd,1,11,0.0,0.0625,0,1,1
